figure_id,panel,series,item,source_path,source_sha256,row_filter,field,transformation,source_value_unrounded,derived_value_unrounded,displayed_value,evidence_class,notes
fig1_frozen_workflow,workflow,phase,E5,reproducibility/frozen_e0_e5/manifests/e5_final_manifest.json,8446d791fdfccebdfcf0c7efd4e66a2a9c976b62f52adb8a58d6eeb803c7e1f4,JSON phase=E5,evaluation_partition;selected_strategy;selected_architecture;selected_lookback_days,none; conceptual workflow label,"{""evaluation_partition"":""test_folds_and_2025_final_period"",""selected_architecture"":""lstm"",""selected_lookback_days"":7,""selected_strategy"":""mimo""}","{""evaluation_partition"":""test_folds_and_2025_final_period"",""selected_architecture"":""lstm"",""selected_lookback_days"":7,""selected_strategy"":""mimo""}",Frozen evaluation | 2025 final-period | test,frozen protocol/evaluation metadata,
fig2_horizon_mae_and_upstream_effect,A,S0,day_14_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=14,MAE_m_std,none,0.18976327033884693,0.18976327033884693,0.190,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_14_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=14,MAE_m_mean,none,0.9490845111626427,0.9490845111626427,0.949,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_1_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=1,MAE_m_std,none,0.06506194293149374,0.06506194293149374,0.065,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_1_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=1,MAE_m_mean,none,0.17738962768040653,0.17738962768040653,0.177,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_3_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=3,MAE_m_std,none,0.1467350681570371,0.1467350681570371,0.147,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_3_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=3,MAE_m_mean,none,0.40082381499823616,0.40082381499823616,0.401,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_5_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=5,MAE_m_std,none,0.21279058176778043,0.21279058176778043,0.213,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_5_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=5,MAE_m_mean,none,0.5709481929092589,0.5709481929092589,0.571,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_7_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=7,MAE_m_std,none,0.23426664449106788,0.23426664449106788,0.234,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S0,day_7_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S0;horizon_days=7,MAE_m_mean,none,0.6885407119889203,0.6885407119889203,0.689,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_14_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=14,MAE_m_std,none,0.24961292066838708,0.24961292066838708,0.250,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_14_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=14,MAE_m_mean,none,0.923183250182815,0.923183250182815,0.923,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_1_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=1,MAE_m_std,none,0.18860390625277088,0.18860390625277088,0.189,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_1_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=1,MAE_m_mean,none,0.3916608537596034,0.3916608537596034,0.392,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_3_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=3,MAE_m_std,none,0.19502401129991168,0.19502401129991168,0.195,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_3_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=3,MAE_m_mean,none,0.4475847838387031,0.4475847838387031,0.448,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_5_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=5,MAE_m_std,none,0.22895841365354738,0.22895841365354738,0.229,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_5_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=5,MAE_m_mean,none,0.5292321162303202,0.5292321162303202,0.529,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_7_SD,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=7,MAE_m_std,none,0.25813372481999663,0.25813372481999663,0.258,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,A,S4,day_7_mean,reproducibility/frozen_e0_e5/summaries/e5_final_metric_summary.csv,9cd199680940e5b03ce58ac8d391b260d254de6ad8a0605dbbe163a179c17d48,station_set=S4;horizon_days=7,MAE_m_mean,none,0.6356860728522946,0.6356860728522946,0.636,descriptive frozen E5 fold/seed summary,SD is across recorded fold/seed evaluation units; it is not a confidence interval.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_14_ci_high,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=14;block_length_days=30,ci_high_m,none; positive effect means S4 has lower MAE,0.05520789491122017,0.05520789491122017,0.055,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_14_ci_low,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=14;block_length_days=30,ci_low_m,none; positive effect means S4 has lower MAE,-0.04169854675745707,-0.04169854675745707,-0.042,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_14_effect,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=14;block_length_days=30,mean_MAE_improvement_m,none; positive effect means S4 has lower MAE,0.017764144711537425,0.017764144711537425,0.018,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_14_holm_p,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=14;block_length_days=30,dm_holm_p_value,none; positive effect means S4 has lower MAE,0.4737047445704347,0.4737047445704347,0.474,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_7_ci_high,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=7;block_length_days=30,ci_high_m,none; positive effect means S4 has lower MAE,0.07927794225910546,0.07927794225910546,0.079,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_7_ci_low,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=7;block_length_days=30,ci_low_m,none; positive effect means S4 has lower MAE,-0.019899060334667113,-0.019899060334667113,-0.020,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_7_effect,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=7;block_length_days=30,mean_MAE_improvement_m,none; positive effect means S4 has lower MAE,0.03495755608435649,0.03495755608435649,0.035,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig2_horizon_mae_and_upstream_effect,B,S4_vs_S0,day_7_holm_p,reproducibility/frozen_e0_e5/summaries/e5_s4_vs_s0_inference.csv,839cd5140347fa8d098c465b41a3b428cfd46c1f02785a3a45118dd9da9716b7,comparison=S4_vs_S0;horizon_days=7;block_length_days=30,dm_holm_p_value,none; positive effect means S4 has lower MAE,0.2549296208930516,0.2549296208930516,0.255,primary frozen E5 paired inference,No significance marker: 95% CI crosses zero and Holm-adjusted p >= 0.05.
fig3_predictive_skill_horizon,A,S4,day_10_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=10,skill_ci_high,multiply by 100 for percent axis,0.12109616993780556,12.109616993780556,12.11,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_10_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=10,skill_ci_low,multiply by 100 for percent axis,-0.02904245248176098,-2.9042452481760983,-2.90,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_10_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=10,MAE_skill_vs_persistence,multiply by 100 for percent axis,0.05230570128626966,5.230570128626965,5.23,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_11_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=11,skill_ci_high,multiply by 100 for percent axis,0.11491782382417284,11.491782382417284,11.49,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_11_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=11,skill_ci_low,multiply by 100 for percent axis,-0.031542058147802234,-3.1542058147802234,-3.15,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_11_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=11,MAE_skill_vs_persistence,multiply by 100 for percent axis,0.05225057221816998,5.225057221816998,5.23,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_12_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=12,skill_ci_high,multiply by 100 for percent axis,0.11400373389688095,11.400373389688095,11.40,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_12_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=12,skill_ci_low,multiply by 100 for percent axis,-0.033716184686864964,-3.3716184686864965,-3.37,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_12_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=12,MAE_skill_vs_persistence,multiply by 100 for percent axis,0.04861510514670886,4.861510514670886,4.86,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_13_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=13,skill_ci_high,multiply by 100 for percent axis,0.11462891617295,11.462891617295,11.46,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_13_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=13,skill_ci_low,multiply by 100 for percent axis,-0.02838817485692005,-2.838817485692005,-2.84,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_13_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=13,MAE_skill_vs_persistence,multiply by 100 for percent axis,0.044123637043064434,4.412363704306443,4.41,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_14_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=14,skill_ci_high,multiply by 100 for percent axis,0.11851478735307257,11.851478735307257,11.85,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_14_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=14,skill_ci_low,multiply by 100 for percent axis,-0.024533653858194594,-2.4533653858194593,-2.45,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_14_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=14,MAE_skill_vs_persistence,multiply by 100 for percent axis,0.04762313881336444,4.7623138813364445,4.76,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_1_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=1,skill_ci_high,multiply by 100 for percent axis,-0.9208970968602289,-92.08970968602289,-92.09,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_1_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=1,skill_ci_low,multiply by 100 for percent axis,-2.011498867544291,-201.1498867544291,-201.15,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_1_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=1,MAE_skill_vs_persistence,multiply by 100 for percent axis,-1.40267183270994,-140.267183270994,-140.27,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_2_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=2,skill_ci_high,multiply by 100 for percent axis,-0.14816519027115735,-14.816519027115735,-14.82,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_2_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=2,skill_ci_low,multiply by 100 for percent axis,-0.7408065193151894,-74.08065193151894,-74.08,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_2_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=2,MAE_skill_vs_persistence,multiply by 100 for percent axis,-0.3928608006004026,-39.28608006004026,-39.29,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_3_ci_high,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=3,skill_ci_high,multiply by 100 for percent axis,0.05535053587071887,5.5350535870718875,5.54,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_3_ci_low,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=3,skill_ci_low,multiply by 100 for percent axis,-0.32283124070847785,-32.283124070847784,-32.28,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
fig3_predictive_skill_horizon,A,S4,day_3_skill,reproducibility/frozen_e0_e5/summaries/e5_persistence_skill_inference.csv,cc663bd7aa65642fc7e20f97e4431c0f434216a368d5121e4dbd197eebe9fc44,station_set=S4;horizon_days=3,MAE_skill_vs_persistence,multiply by 100 for percent axis,-0.10729054579591524,-10.729054579591523,-10.73,frozen E5 persistence-skill inference,"Predictively useful is a statistical criterion, not an operational warning lead time."
